"FishCode","FishDesc","Consigned","Sold","LowPrice","AvgPrice","HighPrice","MonthNum","YearNum"
"FWWL","Greysole | large","","34","2.36","3.38","5.12","1","2023"
"MKTL","Monkfish, tails | large","","8594","2","2.65","3.92","1","2023"
"CADM","Cod | market","","5259","2.06","3.13","4.77","1","2023"
"FPWM","Dab | medium","","3692","0.8","1.41","1.87","1","2023"
"HDDP","Haddock | snapper","","474","0.98","1.68","2","1","2023"
"MKTS","Monkfish, tails | small","","3019","1.51","1.82","2.34","1","2023"
"CADS","Cod | scrod","","72","1.21","1.78","2.73","1","2023"
"FADS","Halibut, Atlantic | 10-50","","39","13.01","13.01","13.01","1","2023"
"HDDL","Haddock | large","","12909","1.88","2.32","2.89","1","2023"
"SSBR","Scallops - boat run","","277","14.45","19.26","20.76","1","2023"
"FNWS","Blackback | small","","9","0.83","0.93","1","1","2023"
"FPWS","Dab | small","","1684","0.59","0.9","1","1","2023"
"FPWL","Dab | large","","2160","1.47","2.02","2.11","1","2023"
"HWSJ","Hake, white | sow","","3348","1.8","2.52","4.76","1","2023"
"HWSM","Hake, white | medium","","351","1.16","1.43","2.71","1","2023"
"PADS","Pollock, Atl | small","","4794","0.62","0.94","1.31","1","2023"
"HSWX","Whiting | mixed","","13","0.5","0.5","0.5","1","2023"
"CKDX","Cusk | mixed","","187","0.7","0.79","0.82","1","2023"
"FWWM","Greysole | medium","","267","1.21","2.57","3.01","1","2023"
"PADL","Pollock, Atl | large","","9648","1.52","1.85","2.32","1","2023"
"PADM","Pollock, Atl | medium","","14255","1.13","1.47","1.62","1","2023"
"CADL","Cod | large","","2427","2.67","3.83","5.06","1","2023"
"FWWS","Greysole | small","","7069","0.81","1.21","2.53","1","2023"
"HDDS","Haddock | scrod","","28948","1.54","2.08","2.8","1","2023"
"HWSL","Hake, white | large","","4432","1.64","2.59","3.96","1","2023"
"POWX","Redfish | mixed","","618","0.5","0.76","1.22","1","2023"
"HDDL","Haddock | large","","18478","1.54","2.01","2.82","2","2023"
"HWSJ","Hake, white | sow","","1753","1.24","2.48","4.07","2","2023"
"CADM","Cod | market","","3305","1.63","2.3","4.12","2","2023"
"FWWL","Greysole | large","","25","2.35","3.95","5.17","2","2023"
"HWSS","Hake, white | small","","7","0.6","0.66","0.8","2","2023"
"POWX","Redfish | mixed","","492","0.58","0.67","1.01","2","2023"
"FNWS","Blackback | small","","3","0.8","0.8","0.8","2","2023"
"FWWM","Greysole | medium","","369","0.01","2.6","4.17","2","2023"
"PADL","Pollock, Atl | large","","3346","1.77","2.41","3.57","2","2023"
"CKDX","Cusk | mixed","","56","0.62","0.72","0.82","2","2023"
"FPWL","Dab | large","","1588","1.66","2.13","2.97","2","2023"
"HDDP","Haddock | snapper","","65","1","1.06","1.07","2","2023"
"PADM","Pollock, Atl | medium","","4169","1.29","2.13","3.25","2","2023"
"PADS","Pollock, Atl | small","","366","0.6","1.11","1.47","2","2023"
"CADL","Cod | large","","1380","2.09","3.59","5.77","2","2023"
"FPWM","Dab | medium","","2947","1.17","1.73","2.48","2","2023"
"HDDS","Haddock | scrod","","23443","1.34","1.65","2.27","2","2023"
"HWSM","Hake, white | medium","","136","1.06","1.47","2.25","2","2023"
"MKTL","Monkfish, tails | large","","5612","2.27","2.69","4.32","2","2023"
"MKTS","Monkfish, tails | small","","3820","1.45","1.77","1.97","2","2023"
"CADS","Cod | scrod","","6","0.9","1.02","1.13","2","2023"
"SSBR","Scallops - boat run","","238","12.74","12.91","13.01","2","2023"
"FWWS","Greysole | small","","1733","0.56","0.94","1.09","2","2023"
"HSWX","Whiting | mixed","","204","0.46","0.48","0.7","2","2023"
"HWSL","Hake, white | large","","4188","1.1","1.98","3.62","2","2023"
"FPWS","Dab | small","","3802","0.73","1.16","1.82","3","2023"
"HWSS","Hake, white | small","","208","0.67","0.7","0.73","3","2023"
"POWX","Redfish | mixed","","1449","0.58","0.7","0.88","3","2023"
"FADM","Halibut, Atlantic | 50-85","","75","13.11","13.11","13.11","3","2023"
"FNWL","Blackback | large","","3","1.2","1.2","1.2","3","2023"
"FNWS","Blackback | small","","1","1.04","1.04","1.04","3","2023"
"FPWL","Dab | large","","1498","1.96","2.44","3.18","3","2023"
"FWWM","Greysole | medium","","609","1.94","2.58","5.42","3","2023"
"HWSJ","Hake, white | sow","","5345","0.96","1.15","4.12","3","2023"
"HWSM","Hake, white | medium","","2352","1","1.07","1.61","3","2023"
"HSWX","Whiting | mixed","","117","0.52","0.65","0.66","3","2023"
"HWSL","Hake, white | large","","8733","0.97","1.36","2.71","3","2023"
"CADM","Cod | market","","16229","1.7","1.91","2.99","3","2023"
"PADL","Pollock, Atl | large","","1400","1.31","2.99","3.82","3","2023"
"CADS","Cod | scrod","","19","1.03","1.17","1.19","3","2023"
"FADS","Halibut, Atlantic | 10-50","","106","12.31","13.06","13.66","3","2023"
"HDDL","Haddock | large","","18158","1.47","1.95","2.25","3","2023"
"HDDP","Haddock | snapper","","193","0.89","0.97","1.04","3","2023"
"HDDS","Haddock | scrod","","29752","1.25","1.51","1.86","3","2023"
"PADM","Pollock, Atl | medium","","1762","1.38","2.57","3.87","3","2023"
"CADL","Cod | large","","961","2.11","2.81","4.47","3","2023"
"CKDX","Cusk | mixed","","245","0.6","0.62","0.8","3","2023"
"FWWS","Greysole | small","","2855","0.97","1.66","2.52","3","2023"
"MKTL","Monkfish, tails | large","","5304","2.5","3.1","4.02","3","2023"
"FWWL","Greysole | large","","45","2.5","3.65","4.02","3","2023"
"PADS","Pollock, Atl | small","","463","0.97","1.31","1.51","3","2023"
"FPWM","Dab | medium","","2342","1.22","1.88","2.68","3","2023"
"FYWS","Yellowtail | small","","17","0.8","0.85","0.92","3","2023"
"MKTS","Monkfish, tails | small","","2496","1.65","1.85","2.08","3","2023"
"CADL","Cod | large","","788","1.9","3.06","4.62","4","2023"
"HDDS","Haddock | scrod","","29835","1.36","1.54","2.39","4","2023"
"HWSL","Hake, white | large","","3919","1","1.41","1.89","4","2023"
"POWX","Redfish | mixed","","473","0.62","0.81","1.21","4","2023"
"CKDX","Cusk | mixed","","69","0.82","0.9","0.96","4","2023"
"FADM","Halibut, Atlantic | 50-85","","78","8.95","8.95","8.95","4","2023"
"FWWM","Greysole | medium","","321","1.69","2.44","2.76","4","2023"
"FWWS","Greysole | small","","4807","0.97","1.1","1.15","4","2023"
"PADL","Pollock, Atl | large","","2284","0.77","2.65","4.07","4","2023"
"PADM","Pollock, Atl | medium","","3801","1.44","3.02","4.17","4","2023"
"HSWX","Whiting | mixed","","135","0.92","1.22","1.26","4","2023"
"PADS","Pollock, Atl | small","","1189","0.96","1.9","2.34","4","2023"
"FNWL","Blackback | large","","3","0.9","0.9","0.9","4","2023"
"FPWL","Dab | large","","1805","1.77","2.17","2.88","4","2023"
"HWSJ","Hake, white | sow","","2776","1.19","1.38","2.01","4","2023"
"HWSM","Hake, white | medium","","1807","0.82","1.04","1.25","4","2023"
"CADS","Cod | scrod","","351","0.99","1.14","1.4","4","2023"
"FADS","Halibut, Atlantic | 10-50","","33","13.11","13.11","13.11","4","2023"
"FPWS","Dab | small","","1514","0.9","0.9","0.9","4","2023"
"FWWL","Greysole | large","","80","2.23","3.11","3.62","4","2023"
"HWSS","Hake, white | small","","67","0.5","0.7","0.8","4","2023"
"FYWL","Yellowtail | large","","1","0.94","0.94","0.94","4","2023"
"HDDL","Haddock | large","","11298","1.69","2.17","2.73","4","2023"
"CADM","Cod | market","","5202","1.5","1.99","2.55","4","2023"
"HDDP","Haddock | snapper","","399","0.78","0.99","1.09","4","2023"
"MKTS","Monkfish, tails | small","","1345","1.6","1.68","1.75","4","2023"
"FPWM","Dab | medium","","2687","1.1","1.54","1.86","4","2023"
"MKTL","Monkfish, tails | large","","6615","2.46","2.87","3.52","4","2023"
"FWWS","Greysole | small","","1492","1.19","1.46","2.42","5","2023"
"HSWX","Whiting | mixed","","195","0.58","0.7","0.92","5","2023"
"HWSL","Hake, white | large","","4708","1.35","2.15","2.98","5","2023"
"CADS","Cod | scrod","","6","1.55","1.62","1.69","5","2023"
"FADS","Halibut, Atlantic | 10-50","","61","9","9.31","9.61","5","2023"
"FYWL","Yellowtail | large","","1","0.98","0.98","0.98","5","2023"
"CADL","Cod | large","","220","2.84","3.16","4.57","5","2023"
"FADL","Halibut, Atlantic | 85-125","","117","6.55","6.55","6.55","5","2023"
"FPWM","Dab | medium","","809","1.26","1.94","2.86","5","2023"
"HDDP","Haddock | snapper","","119","1.11","1.11","1.12","5","2023"
"HDDS","Haddock | scrod","","3129","2.31","2.51","4.27","5","2023"
"MKTS","Monkfish, tails | small","","1577","1.82","1.96","2.24","5","2023"
"POWX","Redfish | mixed","","143","0.7","0.94","1.13","5","2023"
"CKDX","Cusk | mixed","","30","0.84","0.85","0.85","5","2023"
"FPWL","Dab | large","","436","2.01","2.73","3.42","5","2023"
"FWWM","Greysole | medium","","246","2.23","2.33","2.56","5","2023"
"HWSM","Hake, white | medium","","1587","1.12","1.22","2.58","5","2023"
"MKTL","Monkfish, tails | large","","1446","2.5","2.9","4.12","5","2023"
"PADM","Pollock, Atl | medium","","1086","1.22","1.87","2.78","5","2023"
"PADS","Pollock, Atl | small","","861","0.91","0.98","1.63","5","2023"
"FADM","Halibut, Atlantic | 50-85","","84","11.11","11.11","11.11","5","2023"
"FWWL","Greysole | large","","11","2.18","3.01","3.19","5","2023"
"HWSS","Hake, white | small","","56","0.53","0.78","1","5","2023"
"PADL","Pollock, Atl | large","","262","2.67","2.84","2.93","5","2023"
"CADM","Cod | market","","1140","1.95","2.81","5.47","5","2023"
"FPWS","Dab | small","","662","1.22","1.3","1.42","5","2023"
"HDDL","Haddock | large","","2245","2.59","2.99","4.67","5","2023"
"HWSJ","Hake, white | sow","","1909","1.37","2.44","4.32","5","2023"
"FPWM","Dab | medium","","6281","1.54","1.95","2.7","6","2023"
"FYWL","Yellowtail | large","","318","1.06","1.12","1.29","6","2023"
"MKTS","Monkfish, tails | small","","3200","1.08","1.62","1.88","6","2023"
"FPWL","Dab | large","","3480","1.76","2.76","3.12","6","2023"
"FWWL","Greysole | large","","274","1.76","2.78","4.32","6","2023"
"PADS","Pollock, Atl | small","","3113","0.89","1.17","2","6","2023"
"CADL","Cod | large","","1990","2.36","3.19","4.57","6","2023"
"FWWS","Greysole | small","","11089","0.99","1.12","2.09","6","2023"
"HDDS","Haddock | scrod","","22329","1.62","2.04","2.81","6","2023"
"HWSL","Hake, white | large","","8687","1.5","1.98","2.67","6","2023"
"MKTL","Monkfish, tails | large","","4866","2.01","2.35","3.07","6","2023"
"CADS","Cod | scrod","","31","1.49","1.68","1.7","6","2023"
"CKDX","Cusk | mixed","","551","0.54","0.71","1.22","6","2023"
"FADS","Halibut, Atlantic | 10-50","","236","8.96","10.59","12.06","6","2023"
"HDDL","Haddock | large","","6798","2.1","2.47","3.15","6","2023"
"HDDP","Haddock | snapper","","588","0.9","1.17","1.76","6","2023"
"KUGX","Skatewing unclass. | mixed","","3","0.9","0.9","0.9","6","2023"
"PADM","Pollock, Atl | medium","","3930","1.18","2.17","2.96","6","2023"
"CADM","Cod | market","","4542","2.19","2.56","2.75","6","2023"
"HSWX","Whiting | mixed","","3747","0.5","1.09","1.51","6","2023"
"PADL","Pollock, Atl | large","","5923","1.6","2.79","3.57","6","2023"
"HWSJ","Hake, white | sow","","1885","2.09","3.35","4.42","6","2023"
"FADM","Halibut, Atlantic | 50-85","","345","7.5","8.65","10.01","6","2023"
"FNWL","Blackback | large","","14","0.8","1.31","1.96","6","2023"
"FNWS","Blackback | small","","16","0.72","0.8","0.98","6","2023"
"FPWS","Dab | small","","9605","1","1.43","1.75","6","2023"
"FWWM","Greysole | medium","","1246","1.3","2.2","2.88","6","2023"
"HWSM","Hake, white | medium","","1510","0.99","1.32","1.75","6","2023"
"FYWS","Yellowtail | small","","200","0.41","0.51","0.62","6","2023"
"HWSS","Hake, white | small","","86","0.7","0.96","1.19","6","2023"
"POWX","Redfish | mixed","","652","0.5","1.25","1.67","6","2023"
"CADL","Cod | large","","530","2.51","4.19","5.27","7","2023"
"CADM","Cod | market","","1069","2.51","3.21","5.07","7","2023"
"FPWM","Dab | medium","","7164","1.39","1.83","2.51","7","2023"
"MKTL","Monkfish, tails | large","","5979","2","2.3","2.76","7","2023"
"MKTS","Monkfish, tails | small","","2133","1.38","1.67","2.05","7","2023"
"HDDL","Haddock | large","","13368","2.25","2.88","4.97","7","2023"
"HDDP","Haddock | snapper","","523","1.39","1.58","1.91","7","2023"
"PADM","Pollock, Atl | medium","","3137","1.23","3.36","4.52","7","2023"
"FYWL","Yellowtail | large","","91","0.52","0.52","0.52","7","2023"
"CADS","Cod | scrod","","15","1.11","1.62","2.21","7","2023"
"FADS","Halibut, Atlantic | 10-50","","297","10.06","10.98","12.06","7","2023"
"FPWS","Dab | small","","8669","0.99","1.31","1.68","7","2023"
"FWWL","Greysole | large","","173","1.99","2.87","4.57","7","2023"
"HWSS","Hake, white | small","","219","0.7","0.82","1.1","7","2023"
"FPWL","Dab | large","","4179","2","2.68","2.97","7","2023"
"HWSJ","Hake, white | sow","","1918","1.66","3.69","5.52","7","2023"
"HWSM","Hake, white | medium","","2131","1.14","1.65","2.74","7","2023"
"HSWX","Whiting | mixed","","1584","0.34","1.05","2.06","7","2023"
"PADS","Pollock, Atl | small","","1752","0.96","2.01","2.85","7","2023"
"CKDX","Cusk | mixed","","346","0.61","0.74","0.86","7","2023"
"FADM","Halibut, Atlantic | 50-85","","256","8.56","10.62","12.21","7","2023"
"FWWM","Greysole | medium","","1707","1.6","2.24","2.99","7","2023"
"FWWS","Greysole | small","","15439","0.8","1.12","3.72","7","2023"
"PADL","Pollock, Atl | large","","1782","1.6","3.54","4.77","7","2023"
"HDDS","Haddock | scrod","","14816","2.02","2.63","3.92","7","2023"
"HWSL","Hake, white | large","","20257","1.28","2.39","3.47","7","2023"
"POWX","Redfish | mixed","","2554","0.6","1.29","2.12","7","2023"
"FNWL","Blackback | large","","9","0.84","0.97","1.35","8","2023"
"FNWS","Blackback | small","","6","0.82","0.82","0.82","8","2023"
"HDDL","Haddock | large","","11092","1.89","2.46","3.82","8","2023"
"HWSJ","Hake, white | sow","","4086","2.41","3.55","6.12","8","2023"
"CADM","Cod | market","","1196","2.08","3.5","5.72","8","2023"
"CADS","Cod | scrod","","27","1.69","1.7","1.76","8","2023"
"FADS","Halibut, Atlantic | 10-50","","288","8.41","11.06","14.71","8","2023"
"FPWS","Dab | small","","24310","1.08","1.55","2.03","8","2023"
"HWSS","Hake, white | small","","801","0.4","1.23","1.68","8","2023"
"FPWM","Dab | medium","","14310","1.1","2","2.93","8","2023"
"PADL","Pollock, Atl | large","","1628","1.84","3.39","4.87","8","2023"
"FWWL","Greysole | large","","32","1.88","2.89","3.87","8","2023"
"CKDX","Cusk | mixed","","239","0.68","0.75","0.82","8","2023"
"FADM","Halibut, Atlantic | 50-85","","143","13.26","13.61","14.01","8","2023"
"FPWL","Dab | large","","5268","1.73","2.56","3.15","8","2023"
"FWWM","Greysole | medium","","528","1.99","2.92","4.77","8","2023"
"FWWS","Greysole | small","","9825","1.38","2.07","3.27","8","2023"
"HWSM","Hake, white | medium","","5490","0.95","1.89","2.49","8","2023"
"MKTL","Monkfish, tails | large","","10928","1.95","2.13","2.44","8","2023"
"PADM","Pollock, Atl | medium","","2917","1.89","3.03","4.52","8","2023"
"CADL","Cod | large","","745","3.19","4.26","5.67","8","2023"
"HDDP","Haddock | snapper","","534","0.79","1.39","1.76","8","2023"
"HDDS","Haddock | scrod","","20984","1.53","2.23","2.97","8","2023"
"MKTS","Monkfish, tails | small","","5244","1.4","1.59","2.02","8","2023"
"POWX","Redfish | mixed","","3662","0.46","0.8","1.66","8","2023"
"FADL","Halibut, Atlantic | 85-125","","121","7.61","7.61","7.61","8","2023"
"FYWL","Yellowtail | large","","1","0.9","0.9","0.9","8","2023"
"HSWX","Whiting | mixed","","117","0.51","0.59","0.98","8","2023"
"HWSL","Hake, white | large","","25885","1.75","2.42","3.72","8","2023"
"PADS","Pollock, Atl | small","","1840","1","1.85","2.23","8","2023"
"FWWM","Greysole | medium","","202","1.23","2.7","3.27","9","2023"
"PADL","Pollock, Atl | large","","2472","1.94","3.34","4.02","9","2023"
"FADM","Halibut, Atlantic | 50-85","","122","6.57","8.18","10.01","9","2023"
"FNWL","Blackback | large","","35","1.26","1.27","1.34","9","2023"
"FNWS","Blackback | small","","63","0.61","0.61","0.61","9","2023"
"FPWS","Dab | small","","16207","0.51","0.95","1.61","9","2023"
"FWWL","Greysole | large","","13","2.31","3.46","4.07","9","2023"
"HWSS","Hake, white | small","","953","0.8","1.44","1.86","9","2023"
"POWX","Redfish | mixed","","2303","0.48","0.65","1.01","9","2023"
"HWSJ","Hake, white | sow","","3521","1.91","3.03","4.72","9","2023"
"CADM","Cod | market","","1396","2.01","3.19","5.32","9","2023"
"HSWX","Whiting | mixed","","159","0.46","0.48","0.51","9","2023"
"CADS","Cod | scrod","","78","1.49","1.64","1.82","9","2023"
"CKDX","Cusk | mixed","","269","0.48","0.74","0.84","9","2023"
"FADS","Halibut, Atlantic | 10-50","","239","7","9.07","10.16","9","2023"
"HDDL","Haddock | large","","7849","1.78","2.45","3.12","9","2023"
"PADM","Pollock, Atl | medium","","2006","2.25","3.13","3.67","9","2023"
"CADL","Cod | large","","692","2.3","4.5","5.17","9","2023"
"FADJ","Halibut, Atlantic | >125","","134","5.96","5.96","5.96","9","2023"
"FWWS","Greysole | small","","6115","1.04","2.12","3.17","9","2023"
"HDDS","Haddock | scrod","","18825","1.6","1.99","3.09","9","2023"
"HWSL","Hake, white | large","","25329","1.5","2.44","3.21","9","2023"
"FPWL","Dab | large","","5295","1.49","1.78","2.23","9","2023"
"HWSM","Hake, white | medium","","3968","1.53","1.97","2.34","9","2023"
"MKTL","Monkfish, tails | large","","7779","1.99","2.22","3.03","9","2023"
"PADS","Pollock, Atl | small","","1029","1.01","2.04","2.31","9","2023"
"FADL","Halibut, Atlantic | 85-125","","103","7.51","7.51","7.51","9","2023"
"FPWM","Dab | medium","","13525","1.14","1.49","2.33","9","2023"
"HDDP","Haddock | snapper","","357","0.9","1.13","1.33","9","2023"
"MKTS","Monkfish, tails | small","","3981","1.42","1.72","2.07","9","2023"
"POWX","Redfish | mixed","","934","0.5","0.59","0.82","10","2023"
"FADM","Halibut, Atlantic | 50-85","","123","7.05","8.01","8.95","10","2023"
"FWWM","Greysole | medium","","264","1.5","2.3","3.25","10","2023"
"FWWS","Greysole | small","","4462","0.78","1.31","2.04","10","2023"
"HSWX","Whiting | mixed","","112","0.3","0.34","0.68","10","2023"
"HWSL","Hake, white | large","","22125","1.32","1.5","1.89","10","2023"
"PADL","Pollock, Atl | large","","17510","2.21","2.74","3.67","10","2023"
"FPWL","Dab | large","","2310","1.49","1.71","2.34","10","2023"
"HWSJ","Hake, white | sow","","4092","1.54","1.84","2.52","10","2023"
"PADS","Pollock, Atl | small","","2302","1.32","1.78","2.09","10","2023"
"FADL","Halibut, Atlantic | 85-125","","325","6.5","7.55","8.56","10","2023"
"FNWL","Blackback | large","","48","0.76","0.91","1.72","10","2023"
"FPWS","Dab | small","","3443","0.6","0.84","1.12","10","2023"
"HWSM","Hake, white | medium","","3848","1.01","1.33","1.68","10","2023"
"CADS","Cod | scrod","","40","1.03","1.15","1.65","10","2023"
"FADS","Halibut, Atlantic | 10-50","","373","8","9.27","10.21","10","2023"
"FWWL","Greysole | large","","12","2.16","2.42","2.85","10","2023"
"FYWS","Yellowtail | small","","1","0.8","0.8","0.8","10","2023"
"HWSS","Hake, white | small","","394","0.79","0.9","1.11","10","2023"
"FNWS","Blackback | small","","65","0.68","0.73","0.8","10","2023"
"FYWL","Yellowtail | large","","16","0.78","1.07","1.19","10","2023"
"CKDX","Cusk | mixed","","272","0.68","0.79","0.84","10","2023"
"HDDL","Haddock | large","","8047","1.32","2","3.01","10","2023"
"HDDP","Haddock | snapper","","113","0.95","1.25","1.32","10","2023"
"KUGX","Skatewing unclass. | mixed","","59","0.7","0.7","0.7","10","2023"
"PADM","Pollock, Atl | medium","","12337","1.99","2.36","3.11","10","2023"
"CADL","Cod | large","","2337","1.51","2.89","4.07","10","2023"
"CADM","Cod | market","","3659","1.51","2.32","3.77","10","2023"
"FNWJ","Blackback | lemonsole","","4","1.3","1.3","1.3","10","2023"
"FPWM","Dab | medium","","3905","0.99","1.37","2.11","10","2023"
"HDDS","Haddock | scrod","","15323","1.1","1.73","3","10","2023"
"MKTL","Monkfish, tails | large","","6459","1.99","2.2","2.75","10","2023"
"MKTS","Monkfish, tails | small","","5578","1.46","1.52","1.69","10","2023"
"HSWX","Whiting | mixed","","70","0.5","0.7","0.98","11","2023"
"HWSL","Hake, white | large","","11684","1.28","2.29","3.47","11","2023"
"PADS","Pollock, Atl | small","","639","1.01","1.56","1.97","11","2023"
"HDDP","Haddock | snapper","","2","1.19","1.19","1.19","11","2023"
"HDDS","Haddock | scrod","","10520","1.08","1.58","2","11","2023"
"PADM","Pollock, Atl | medium","","7771","1.62","2.41","3.62","11","2023"
"POWX","Redfish | mixed","","119","0.5","0.74","0.77","11","2023"
"CADL","Cod | large","","1893","2.4","3.04","4.42","11","2023"
"CKDX","Cusk | mixed","","88","0.78","0.82","0.87","11","2023"
"FADM","Halibut, Atlantic | 50-85","","53","8","8","8","11","2023"
"FPWL","Dab | large","","1316","1.21","1.74","2.05","11","2023"
"FWWM","Greysole | medium","","104","1.51","2.46","3.2","11","2023"
"FWWS","Greysole | small","","2729","0.85","1.19","2.1","11","2023"
"HWSM","Hake, white | medium","","1438","1.09","1.59","1.99","11","2023"
"MKTL","Monkfish, tails | large","","4460","2.08","2.46","3.37","11","2023"
"FWWL","Greysole | large","","21","1.74","3.33","4.92","11","2023"
"CADM","Cod | market","","2327","2.02","2.62","4.22","11","2023"
"FPWM","Dab | medium","","9789","0.88","1.43","1.85","11","2023"
"MKTS","Monkfish, tails | small","","2372","1.5","1.75","1.92","11","2023"
"PADL","Pollock, Atl | large","","12858","1.6","2.88","3.77","11","2023"
"CADS","Cod | scrod","","9","1.53","1.59","1.71","11","2023"
"FADS","Halibut, Atlantic | 10-50","","49","9","9","9","11","2023"
"FPWS","Dab | small","","9769","0.6","1.04","1.38","11","2023"
"HDDL","Haddock | large","","5779","1.38","1.97","2.95","11","2023"
"HWSS","Hake, white | small","","188","0.79","0.86","0.99","11","2023"
"HWSJ","Hake, white | sow","","1928","1.38","2.12","3.52","11","2023"
"HDDP","Haddock | snapper","","273","1.25","1.27","1.29","12","2023"
"MKTS","Monkfish, tails | small","","5842","1.41","1.81","2.19","12","2023"
"PADS","Pollock, Atl | small","","1444","1.5","1.73","2","12","2023"
"FPWL","Dab | large","","8118","1.65","2.5","3.92","12","2023"
"FPWM","Dab | medium","","13061","1.25","2.26","4.02","12","2023"
"HWSM","Hake, white | medium","","1558","1.38","1.82","2.12","12","2023"
"MKTL","Monkfish, tails | large","","7636","2.33","3.21","4.47","12","2023"
"CADL","Cod | large","","1312","3.05","3.74","4.62","12","2023"
"CADS","Cod | scrod","","41","1.56","1.72","1.94","12","2023"
"FADS","Halibut, Atlantic | 10-50","","27","13.41","13.41","13.41","12","2023"
"HDDS","Haddock | scrod","","23789","1.19","2.02","3.77","12","2023"
"HWSL","Hake, white | large","","7317","1.5","2.32","3.47","12","2023"
"CKDX","Cusk | mixed","","7","0.88","0.88","0.88","12","2023"
"FWWS","Greysole | small","","13287","0.93","1.88","4.42","12","2023"
"FYWL","Yellowtail | large","","2","0.88","0.88","0.88","12","2023"
"PADM","Pollock, Atl | medium","","18369","1.71","2.15","3.02","12","2023"
"CADM","Cod | market","","3552","2.5","2.98","4.67","12","2023"
"HDDL","Haddock | large","","10121","1.71","2.84","4.92","12","2023"
"HSWX","Whiting | mixed","","1620","0.38","0.4","0.54","12","2023"
"HWSJ","Hake, white | sow","","3623","1.53","2.17","3.77","12","2023"
"FNWS","Blackback | small","","1","0.86","0.86","0.86","12","2023"
"FWWM","Greysole | medium","","412","2.42","3.7","5.87","12","2023"
"PADL","Pollock, Atl | large","","17211","2.06","2.5","3.77","12","2023"
"FPWS","Dab | small","","12908","0.99","1.63","3.97","12","2023"
"FWWL","Greysole | large","","37","2.49","3.56","4.77","12","2023"
"HWSS","Hake, white | small","","422","0.9","1.24","1.56","12","2023"
"POWX","Redfish | mixed","","8269","0.5","0.69","0.87","12","2023"
"CADM","Cod | market","","1923","2.48","3.14","3.67","1","2022"
"HDDP","Haddock | snapper","","64","1.1","1.14","1.35","1","2022"
"HSWX","Whiting | mixed","","122","3.15","3.15","3.15","1","2022"
"MKTS","Monkfish, tails | small","","2095","1.7","2.05","2.98","1","2022"
"PADS","Pollock, Atl | small","","3029","0.87","1.59","2.52","1","2022"
"CKDX","Cusk | mixed","","5","0.26","0.26","0.26","1","2022"
"FWWS","Greysole | small","","6323","0.96","1.61","2.71","1","2022"
"HDDL","Haddock | large","","3239","1.6","2.18","3.18","1","2022"
"PADM","Pollock, Atl | medium","","11055","1.41","1.94","4.07","1","2022"
"FPWL","Dab | large","","787","2.8","3.27","4.12","1","2022"
"HWSM","Hake, white | medium","","1373","1.17","1.25","2.86","1","2022"
"MKTL","Monkfish, tails | large","","5124","1.97","2.66","5.87","1","2022"
"CADL","Cod | large","","705","3.13","3.43","4.21","1","2022"
"FADM","Halibut, Atlantic | 50-85","","70","10.51","10.51","10.51","1","2022"
"HDDS","Haddock | scrod","","7484","1.23","1.94","2.95","1","2022"
"HWSL","Hake, white | large","","2289","1.48","2.21","4.46","1","2022"
"POWX","Redfish | mixed","","818","0.78","1.23","1.6","1","2022"
"FWWM","Greysole | medium","","350","2.63","3.49","3.72","1","2022"
"PADL","Pollock, Atl | large","","8908","0.77","2.01","3.92","1","2022"
"FPWM","Dab | medium","","1472","1.97","2.8","4.17","1","2022"
"HWSJ","Hake, white | sow","","1388","2.28","3.2","5.76","1","2022"
"CADS","Cod | scrod","","6","1.93","2.12","2.3","1","2022"
"FPWS","Dab | small","","1214","0.91","1.92","3.26","1","2022"
"FWWL","Greysole | large","","32","2.84","3.77","3.85","1","2022"
"HWSS","Hake, white | small","","67","0.71","0.71","0.71","1","2022"
"FPWL","Dab | large","","229","2.07","2.5","2.52","2","2022"
"FWWM","Greysole | medium","","218","2.01","2.2","2.26","2","2022"
"HWSM","Hake, white | medium","","638","1.48","1.52","2.01","2","2022"
"MKTL","Monkfish, tails | large","","5048","1.95","2.37","3.24","2","2022"
"PADM","Pollock, Atl | medium","","5130","1.27","1.79","1.96","2","2022"
"PADS","Pollock, Atl | small","","940","0.74","1.13","1.74","2","2022"
"FWWS","Greysole | small","","1773","0.56","0.58","1.24","2","2022"
"HWSL","Hake, white | large","","2652","1.81","2.16","3.19","2","2022"
"CADL","Cod | large","","120","2.68","2.82","3.21","2","2022"
"CADM","Cod | market","","534","2.31","2.75","3.52","2","2022"
"FPWM","Dab | medium","","468","1.29","1.78","2.69","2","2022"
"HDDP","Haddock | snapper","","182","0.98","2.21","2.24","2","2022"
"HDDS","Haddock | scrod","","3617","1.45","2.66","3.42","2","2022"
"MKTS","Monkfish, tails | small","","802","1.53","1.64","2.2","2","2022"
"FWWL","Greysole | large","","48","2.24","2.68","2.78","2","2022"
"SSBR","Scallops - boat run","","581","14.29","14.97","16.35","2","2022"
"HDDL","Haddock | large","","3400","1.75","2.18","2.85","2","2022"
"HWSJ","Hake, white | sow","","817","2.04","3.11","4.42","2","2022"
"FNWS","Blackback | small","","1","1.17","1.17","1.17","2","2022"
"HSWX","Whiting | mixed","","41","0.6","0.6","0.6","2","2022"
"PADL","Pollock, Atl | large","","3672","1.09","1.96","2.33","2","2022"
